cylinders,displ,drive,make,model,trany
4.0,2.0,Rear-Wheel Drive,Alfa Romeo,Spider Veloce 2000,MANUAL
8.0,5.2,Rear-Wheel Drive,Dodge,B150/B250 Wagon 2WD,AUTO
8.0,5.2,Rear-Wheel Drive,Dodge,B150/B250 Wagon 2WD,MANUAL
8.0,4.6,Front-Wheel Drive,Cadillac,Seville,AUTO
8.0,4.9,Front-Wheel Drive,Cadillac,Seville,AUTO
6.0,3.3,Front-Wheel Drive,Chrysler,New Yorker,AUTO
4.0,2.5,Front-Wheel Drive,Dodge,Dynasty,AUTO
6.0,3.0,Front-Wheel Drive,Dodge,Dynasty,AUTO
6.0,3.3,Front-Wheel Drive,Dodge,Dynasty,AUTO
4.0,2.5,Front-Wheel Drive,Dodge,Spirit,AUTO
4.0,2.5,Front-Wheel Drive,Dodge,Spirit,MANUAL
6.0,3.0,Front-Wheel Drive,Dodge,Spirit,AUTO
6.0,3.0,Front-Wheel Drive,Ford,Taurus,AUTO
6.0,3.0,Front-Wheel Drive,Ford,Taurus SHO,MANUAL
6.0,3.8,Front-Wheel Drive,Ford,Taurus,AUTO
6.0,3.0,Front-Wheel Drive,Mercury,Sable,AUTO
6.0,3.8,Front-Wheel Drive,Mercury,Sable,AUTO
4.0,2.2,Front-Wheel Drive,Oldsmobile,Cutlass Ciera,AUTO
6.0,3.3,Front-Wheel Drive,Oldsmobile,Cutlass Ciera,AUTO
4.0,2.5,Front-Wheel Drive,Plymouth,Acclaim,AUTO
6.0,4.9,Rear-Wheel Drive,Ford,E150 Club Wagon,AUTO
4.0,2.5,Front-Wheel Drive,Plymouth,Acclaim,MANUAL
6.0,3.0,Front-Wheel Drive,Plymouth,Acclaim,AUTO
6.0,4.9,Rear-Wheel Drive,Ford,E150 Club Wagon,MANUAL
6.0,3.8,Front-Wheel Drive,Buick,LeSabre,AUTO
6.0,3.8,Front-Wheel Drive,Buick,Park Avenue,AUTO
8.0,5.7,Rear-Wheel Drive,Buick,Roadmaster,AUTO
8.0,5.7,Rear-Wheel Drive,Cadillac,Fleetwood,AUTO
6.0,4.3,Rear-Wheel Drive,Chevrolet,Caprice,AUTO
8.0,5.0,Rear-Wheel Drive,Ford,E150 Club Wagon,AUTO
8.0,5.0,Rear-Wheel Drive,Chevrolet,Caprice,AUTO
8.0,5.7,Rear-Wheel Drive,Chevrolet,Caprice,AUTO
6.0,3.3,Front-Wheel Drive,Chrysler,Concorde,AUTO
6.0,3.5,Front-Wheel Drive,Chrysler,Concorde,AUTO
6.0,3.3,Front-Wheel Drive,Chrysler,Fifth Avenue/Imperial,AUTO
6.0,3.8,Front-Wheel Drive,Chrysler,Fifth Avenue/Imperial,AUTO
6.0,3.3,Front-Wheel Drive,Dodge,Intrepid,AUTO
6.0,3.5,Front-Wheel Drive,Dodge,Intrepid,AUTO
6.0,3.3,Front-Wheel Drive,Eagle,Vision,AUTO
6.0,3.5,Front-Wheel Drive,Eagle,Vision,AUTO
8.0,4.6,Rear-Wheel Drive,Ford,LTD Crown Victoria,AUTO
6.0,3.8,Front-Wheel Drive,Lincoln,Continental,AUTO
8.0,4.6,Rear-Wheel Drive,Mercury,Grand Marquis,AUTO
8.0,4.6,Rear-Wheel Drive,Lincoln,Town Car,AUTO
6.0,3.8,Front-Wheel Drive,Oldsmobile,Eighty-Eight,AUTO
6.0,3.8,Front-Wheel Drive,Oldsmobile,Ninety-Eight,AUTO
6.0,4.3,Rear-Wheel Drive,GMC,G15/25 Rally 2WD,AUTO
6.0,3.8,Front-Wheel Drive,Pontiac,Bonneville,AUTO
4.0,1.9,Front-Wheel Drive,Ford,Escort Wagon,AUTO
4.0,1.9,Front-Wheel Drive,Ford,Escort Wagon,MANUAL
4.0,1.9,Front-Wheel Drive,Mercury,Tracer Wagon,AUTO
4.0,1.9,Front-Wheel Drive,Mercury,Tracer Wagon,MANUAL
4.0,1.9,Front-Wheel Drive,Saturn,SW,AUTO
6.0,4.3,Rear-Wheel Drive,GMC,G15/25 Rally 2WD,MANUAL
4.0,1.9,Front-Wheel Drive,Saturn,SW,MANUAL
8.0,5.0,Rear-Wheel Drive,GMC,G15/25 Rally 2WD,AUTO
8.0,5.7,Rear-Wheel Drive,GMC,G15/25 Rally 2WD,AUTO
8.0,6.2,Rear-Wheel Drive,GMC,G15/25 Rally 2WD,AUTO
8.0,6.2,Rear-Wheel Drive,GMC,G15/25 Rally 2WD,MANUAL
4.0,2.5,Rear-Wheel Drive,Chevrolet,S10 Pickup 2WD,AUTO
4.0,2.5,Rear-Wheel Drive,Chevrolet,S10 Pickup 2WD,MANUAL
6.0,2.8,Rear-Wheel Drive,Chevrolet,S10 Pickup 2WD,MANUAL
6.0,4.3,Rear-Wheel Drive,Chevrolet,S10 Pickup 2WD,AUTO
6.0,4.3,Rear-Wheel Drive,Chevrolet,S10 Pickup 2WD,MANUAL
4.0,2.5,Rear-Wheel Drive,GMC,Safari 2WD (passenger),AUTO
4.0,2.5,Rear-Wheel Drive,GMC,Sonoma 2WD,AUTO
4.0,2.5,Rear-Wheel Drive,GMC,Sonoma 2WD,MANUAL
6.0,2.8,Rear-Wheel Drive,GMC,Sonoma 2WD,MANUAL
6.0,4.3,Rear-Wheel Drive,GMC,Sonoma 2WD,AUTO
4.0,2.5,Rear-Wheel Drive,GMC,Safari 2WD (passenger),MANUAL
6.0,4.3,Rear-Wheel Drive,GMC,Sonoma 2WD,MANUAL
6.0,4.3,Rear-Wheel Drive,Chevrolet,C1500 Pickup 2WD,AUTO
6.0,4.3,Rear-Wheel Drive,Chevrolet,C1500 Pickup 2WD,MANUAL
8.0,5.0,Rear-Wheel Drive,Chevrolet,C1500 Pickup 2WD,AUTO
8.0,5.0,Rear-Wheel Drive,Chevrolet,C1500 Pickup 2WD,MANUAL
8.0,5.7,Rear-Wheel Drive,Chevrolet,C1500 Pickup 2WD,AUTO
8.0,5.7,Rear-Wheel Drive,Chevrolet,C1500 Pickup 2WD,MANUAL
6.0,4.3,Rear-Wheel Drive,Chevrolet,Pickup 2500 2WD,AUTO
6.0,4.3,Rear-Wheel Drive,Chevrolet,Pickup 2500 2WD,MANUAL
8.0,5.0,Rear-Wheel Drive,Chevrolet,Pickup 2500 2WD,AUTO
6.0,4.3,Rear-Wheel Drive,GMC,Safari 2WD (passenger),AUTO
8.0,5.0,Rear-Wheel Drive,Chevrolet,Pickup 2500 2WD,MANUAL
8.0,5.7,Rear-Wheel Drive,Chevrolet,Pickup 2500 2WD,AUTO
8.0,5.7,Rear-Wheel Drive,Chevrolet,Pickup 2500 2WD,MANUAL
4.0,2.5,Rear-Wheel Drive,Dodge,Dakota Pickup 2WD,MANUAL
6.0,3.9,Rear-Wheel Drive,Dodge,Dakota Pickup 2WD,AUTO
6.0,3.9,Rear-Wheel Drive,Dodge,Dakota Pickup 2WD,MANUAL
8.0,5.2,Rear-Wheel Drive,Dodge,Dakota Pickup 2WD,AUTO
6.0,3.9,Rear-Wheel Drive,Dodge,D100/D150 Pickup 2WD,AUTO
6.0,4.3,Rear-Wheel Drive,GMC,Safari 2WD (passenger),MANUAL
6.0,3.9,Rear-Wheel Drive,Dodge,D100/D150 Pickup 2WD,MANUAL
8.0,5.2,Rear-Wheel Drive,Dodge,D100/D150 Pickup 2WD,AUTO
8.0,5.2,Rear-Wheel Drive,Dodge,D100/D150 Pickup 2WD,MANUAL
8.0,5.9,Rear-Wheel Drive,Dodge,D100/D150 Pickup 2WD,AUTO
8.0,5.9,Rear-Wheel Drive,Dodge,D100/D150 Pickup 2WD,MANUAL
6.0,3.9,Rear-Wheel Drive,Dodge,D250 Pickup 2WD,AUTO
6.0,3.9,Rear-Wheel Drive,Dodge,D250 Pickup 2WD,MANUAL
8.0,5.2,Rear-Wheel Drive,Dodge,D250 Pickup 2WD,AUTO
8.0,5.2,Rear-Wheel Drive,Dodge,D250 Pickup 2WD,MANUAL
8.0,5.9,Rear-Wheel Drive,Dodge,D250 Pickup 2WD,AUTO
8.0,5.9,Rear-Wheel Drive,Dodge,D250 Pickup 2WD,MANUAL
4.0,2.5,4-Wheel or All-Wheel Drive,Jeep,Comanche Pickup 4WD,MANUAL
6.0,4.0,4-Wheel or All-Wheel Drive,Jeep,Comanche Pickup 4WD,AUTO
6.0,4.0,4-Wheel or All-Wheel Drive,Jeep,Comanche Pickup 4WD,MANUAL
6.0,4.9,Rear-Wheel Drive,Ford,F150 Pickup 2WD,AUTO
